VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,TiketID,Update12feb,StatusUpdate08jan26,DateOpen,Aging,Status,Updatetanggal,closedby,Note,CapSiteSimpul,CapIntermediateLink,OtherPelurusanDataBW
EID,1/5/2026,BGE677,Telkomsel Radio IP,PEMATANG SIANTAR,13,97.61%,1.952.151.285,200.0,P2,Capacity transport issue,BGE67720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,BGE922,Leased Radio IP,PEMATANG SIANTAR,13,14.25%,2.564.498.279,1800.0,P2,Need check quality transport,BGE92220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,BIR097,Telkomsel Radio IP,BINJAI,14,94.10%,1.881.990.816,200.0,P2,Capacity transport issue,BIR09720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,BIR354,Metro-E,BINJAI,12,18.58%,1.857.641.136,1000.0,P2,Need check quality transport,BIR35420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,BKJ362,Leased Radio IP,PEMATANG SIANTAR,14,28.11%,1.686.839.077,600.0,P2,Need check quality transport,BKJ36220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,DLS495,Telkomsel Radio IP,PEMATANG SIANTAR,15,100.72%,2.014.496.839,200.0,P2,Capacity transport issue,DLS49520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,GST313,Leased Radio IP,PADANG SIDEMPUAN,19,97.51%,1.950.195.229,200.0,P1,Capacity transport issue,GST31320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,GST332,Metro-E,PADANG SIDEMPUAN,15,19.48%,1.947.704.337,1000.0,P2,Need check quality transport,GST33220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,GST843,Telkomsel Radio IP,PADANG SIDEMPUAN,12,84.52%,1.690.315.136,200.0,P2,Capacity transport issue,GST84320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,IRY026,Leased Radio IP,BINJAI,14,97.64%,1.952.777.669,200.0,P2,Capacity transport issue,IRY02620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KBJ045,Metro-E,PEMATANG SIANTAR,12,26.74%,2.674.019.216,1000.0,P2,Need check quality transport,KBJ04520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KBJ129,Metro-E,PEMATANG SIANTAR,12,0.06%,637.199.449,1000.0,P2,Need check quality transport,KBJ12920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KPD211,Telkomsel Radio IP,PADANG SIDEMPUAN,15,45.66%,1.826.366.991,400.0,P2,Need check quality transport,KPD21120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KRB591,Metro-E,BINJAI,16,14.61%,1.461.400.479,1000.0,P2,Need check quality transport,KRB59120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KRB713,Metro-E,BINJAI,13,54.84%,5.484.003.502,1000.0,P2,Need check quality transport,KRB71320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,KTN070,Leased Radio IP,PEMATANG SIANTAR,17,51.22%,2.048.919.273,400.0,P2,Need check quality transport,KTN07020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,LGS014,Telkomsel Radio IP,BINJAI,14,96.56%,3.862.301.792,400.0,P2,Capacity transport issue,LGS01420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,LGS075,Metro-E,BINJAI,12,20.62%,2.062.489.339,1000.0,P2,Need check quality transport,LGS07520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,LGS153,Metro-E,BINJAI,13,43.00%,4.300.472.034,1000.0,P2,Need check quality transport,LGS15320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,LHK038,Metro-E,BINJAI,12,13.89%,1.389.036.275,1000.0,P2,Need check quality transport,LHK03820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,LHK067,Telkomsel Radio IP,BINJAI,17,46.77%,187.094.606,400.0,P2,Need check quality transport,LHK06720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,NAD912,Metro-E,ACEH,12,21.36%,2.135.864.507,1000.0,P2,Need check quality transport,NAD91220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,PSP278,Telkomsel Radio IP,RANTAU PRAPAT,14,50.34%,2.013.461.929,400.0,P2,Need check quality transport,PSP27820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,PYB001,Metro-E,PADANG SIDEMPUAN,15,30.76%,3.076.048.683,1000.0,P2,Need check quality transport,PYB00120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,PYB111,Leased Radio IP,PADANG SIDEMPUAN,12,35.26%,141.025.058,400.0,P2,Need check quality transport,PYB11120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,PYB224,Leased Radio IP,PADANG SIDEMPUAN,12,97.27%,194.543.529,200.0,P2,Capacity transport issue,PYB22420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,PYB962,Leased Radio IP,PADANG SIDEMPUAN,16,50.33%,2.013.315.136,400.0,P2,Need check quality transport,PYB96220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,RAP120,Telkomsel Radio IP,RANTAU PRAPAT,15,31.03%,1.861.759.019,600.0,P2,Need check quality transport,RAP12020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,RAP991,Telkomsel Radio IP,RANTAU PRAPAT,19,6.67%,2.667.173.352,400.0,P1,Need check quality transport,RAP99120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,SDK992,Leased Radio IP,PEMATANG SIANTAR,17,97.49%,1.949.861.312,200.0,P2,Capacity transport issue,SDK99220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,SGI079,Leased Radio IP,ACEH,16,51.28%,2.051.267.074,400.0,P2,Need check quality transport,SGI07920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,SGI132,Metro-E,ACEH,12,36.10%,3.610.371.125,1000.0,P2,Need check quality transport,SGI13220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TKN133,Metro-E,ACEH,20,16.67%,1.666.772.646,1000.0,P1,Need check quality transport,TKN13320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TKN706,Metro-E,ACEH,15,15.20%,1.520.155.939,1000.0,P2,Need check quality transport,TKN70620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TKN738,Telkomsel Radio IP,ACEH,12,63.43%,2.537.357.661,400.0,P2,Monitoring,TKN73820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TKN758,Leased Radio IP,ACEH,18,100.76%,2.015.140.326,200.0,P1,Capacity transport issue,TKN75820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TRT239,Telkomsel Radio IP,PADANG SIDEMPUAN,19,13.36%,2.672.695.506,200.0,P1,Need check quality transport,TRT23920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TTN269,Leased Radio IP,ACEH,13,50.39%,2.015.674.439,400.0,P2,Need check quality transport,TTN26920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
EID,1/5/2026,TUK070,Telkomsel Radio IP,PADANG SIDEMPUAN,15,46.32%,1.852.844.671,400.0,P2,Need check quality transport,TUK07020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
